run,variant,pinata_account,fl_round,block_type,expected_pin,pin_status,tx_hash,basescan_url,ipfs_hash,pinata_account_actual,date_pinned
baseline_20260624_184127,baseline,1,0,GLOBAL,round_0_global_model,success,0xbd6eee2f3f97a7118bead098cb13432c8812d055a56b191ce19bb816e6a4536c,https://basescan.org/tx/0xbd6eee2f3f97a7118bead098cb13432c8812d055a56b191ce19bb816e6a4536c,QmWZ1wsCxxGuiv7hhkE6wxUZhwPWNxAqNbJiqjnifFsuwh,account_1,2026-06-24T13:41:36
baseline_20260624_184127,baseline,1,0,GLOBAL,round_0_global_metrics,success,0xbd6eee2f3f97a7118bead098cb13432c8812d055a56b191ce19bb816e6a4536c,https://basescan.org/tx/0xbd6eee2f3f97a7118bead098cb13432c8812d055a56b191ce19bb816e6a4536c,QmSuGMHeVJS1mpry1hcxJmLqt8wfECgDDM3DF25MJKWi35,account_1,2026-06-24T13:41:38
baseline_20260624_184127,baseline,1,1,LOCAL,round_1_local,success,0xe711437d4e3d88db87cca6642def6b163eccb73a1f2bb6cd468742471a19208e,https://basescan.org/tx/0xe711437d4e3d88db87cca6642def6b163eccb73a1f2bb6cd468742471a19208e,QmWZUebSZFRm872481Qfsu9YNYkLxnnrEf398dn4LQSNUN,account_1,2026-06-24T13:45:44
baseline_20260624_184127,baseline,1,1,VOTE,round_1_votes,success,0x62c6142392604d68f9d6b56a6ab7215da81362f0aefcff08e1f61f5986d615ac,https://basescan.org/tx/0x62c6142392604d68f9d6b56a6ab7215da81362f0aefcff08e1f61f5986d615ac,QmeiqZfaLLCKr6n4KrJEHK3F68JpSZSgTY8W6dWmBTn2zb,account_1,2026-06-24T13:45:47
baseline_20260624_184127,baseline,1,1,GLOBAL,round_1_global_model,success,0xc8db92a25789f8bf8e3d1688a046408805d58e0b3de82f7f906d4c2bdb25ffbb,https://basescan.org/tx/0xc8db92a25789f8bf8e3d1688a046408805d58e0b3de82f7f906d4c2bdb25ffbb,QmRnx4XhRMmc5RvYtYn4Y8Wf95XJZv4yCH93H531wvsmNW,account_1,2026-06-24T13:47:37
baseline_20260624_184127,baseline,1,1,GLOBAL,round_1_global_metrics,success,0xc8db92a25789f8bf8e3d1688a046408805d58e0b3de82f7f906d4c2bdb25ffbb,https://basescan.org/tx/0xc8db92a25789f8bf8e3d1688a046408805d58e0b3de82f7f906d4c2bdb25ffbb,QmUQ3CApwNBV8dZVPiimjHCuAoHi67kE6W29hxp9WxjFDt,account_1,2026-06-24T13:47:38
baseline_20260624_184127,baseline,1,2,LOCAL,round_2_local,success,0x9b006b3f3e3eeb71984484ea7b99ac254aafe9771f69da472ab4a37e14d743b5,https://basescan.org/tx/0x9b006b3f3e3eeb71984484ea7b99ac254aafe9771f69da472ab4a37e14d743b5,QmNfUmsXeoSbVbSL6sh4zq7Qy4QPdNBxbDi92CReoQumDC,account_1,2026-06-24T13:51:21
baseline_20260624_184127,baseline,1,2,VOTE,round_2_votes,success,0x1c6b2f04e35dd2c125efa6bdf61490cfb5acb4557405f2810246d90524a0271e,https://basescan.org/tx/0x1c6b2f04e35dd2c125efa6bdf61490cfb5acb4557405f2810246d90524a0271e,QmRDESTwe2jyGmrfvMpHWpQdPfEZPzBRnS8RVWwVNqj4pv,account_1,2026-06-24T13:51:24
baseline_20260624_184127,baseline,1,2,GLOBAL,round_2_global_model,success,0x6539757abb989ae24a8dea73c8d57a357078313341096b307b27175a5c169f73,https://basescan.org/tx/0x6539757abb989ae24a8dea73c8d57a357078313341096b307b27175a5c169f73,QmTPUn41ByrVHDQb3vWAfe7NcLJ6by6UWotojAfQ1bD6yZ,account_1,2026-06-24T13:52:28
baseline_20260624_184127,baseline,1,2,GLOBAL,round_2_global_metrics,success,0x6539757abb989ae24a8dea73c8d57a357078313341096b307b27175a5c169f73,https://basescan.org/tx/0x6539757abb989ae24a8dea73c8d57a357078313341096b307b27175a5c169f73,QmcPgRLpFdXKWqDsBPoNDZdouEBDcoU8C4BgBikDA7ZHdB,account_1,2026-06-24T13:52:30
